"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-31,2026-09-10,"Hi Vis | Affordability For Whole Crew",active,,,,"Using campaign budget",0,1.14,10,9,1.111111,114,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Veltuff | Summer Catalog",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-14T15:28:20+0100,-,-,-,"Prospecting | Summer Catalog DPA",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shirt | Breathable but fading",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Hi Vis | Affordability For Whole Crew",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Trousers | 100% cotton",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Boot | Proper support",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Trousers | Worth having",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Boot | By midday",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shirt | For you",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Jacket | Whatever the weather",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shirt | Does the job all year round",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shorts | Waiting on manager",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Boot | After safety",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shorts | Last month",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Trousers | Built for the job",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shorts | Waiting on manager",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Kit | Liked the workwear",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Trousers | Durable, functional",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shorts | Too warm",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Jacket | Weather cant make up its mind",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Jacket | British weather",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shirt | Shouldn't need",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
