"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-24,2026-08-30,"Shorts | Waiting on manager",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shirt | For you",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Jacket | British weather",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shirt | Breathable but fading",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Static | Pros | DPA Trousers",active,2,actions:offsite_conversion.fb_pixel_purchase,226.39,"Using campaign budget",0,452.78,9170,4418,2.0756,49.376227,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T13:12:42+0100,Average,"Above average","Above average","Sales Prospecting | Trousers | DPA Ad Set – Copy",1.271456,2,575.69,action_values:offsite_conversion.fb_pixel_purchase,171,1.864776,1.926723,172,151,6,4,
2026-08-24,2026-08-30,"Static | Pros | DPA SB",active,4,actions:offsite_conversion.fb_pixel_purchase,60.4075,"Using campaign budget",0,241.63,5906,3101,1.904547,40.912631,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,-,-,-,"Sales Prospecting | SB | DPA Ad Set",4.987419,4,1205.11,action_values:offsite_conversion.fb_pixel_purchase,99,1.676261,1.996942,100,69,9,8,
2026-08-24,2026-08-30,"Shorts | Still waiting – Copy",active,,,,"Using campaign budget",0,0.61,9,9,1,67.777778,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Jacket | Whatever the weather – Copy",active,,,,"Using campaign budget",0,4.29,60,51,1.176471,71.5,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,2,3.333333,1.43,15,2,,,7
2026-08-24,2026-08-30,"Trousers | Built for the job",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shorts | Waiting on manager",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Boot | By midday",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Trousers | Built for the job",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
